id,playerAge,buyTicketTimeOfComp,packNormalScore,packReverseScore,packTimeOfComp,lab1Time,lab2Time,lab3Time,lab1Latency,lab2Latency,lab3Latency,lab1Hits,lab2Hits,lab3Hits,lab1Crosses,lab2Crosses,lab3Crosses,lab1DeadEnds,lab2DeadEnds,lab3DeadEnds,labXHits,labXCrosses,labXDeadEnds,labTimeOfComp,waitRoomCorrect,waitRoomIncorrect,waitRoomMissed,flyPlaneCorrect,flyPlaneIncorrect,flyPlaneMissed,flyPlaneGreenCorrect,flyPlaneGreenIncorrect,flyPlaneGreenMissed,flyPlaneTimeOfComp,coinsMinCorrect,coinsMinIncorrect,coinsMinMissed,coinsExtraCorrect,coinsExtraIncorrect,coinsExtraMissed,coinsSelected,coinsClicksBeforeMin,coinsTimeOfComp,unPackFirstSelected,unPackFirstCorrect,unPackFirstPerc,unPackS1Correct,unPackS2Correct,unPackS3Correct,unPackS1Incorrect,unPackS2Incorrect,unPackS3Incorrect,unPackS1Repeated,unPackS2Repeated,unPackS3Repeated,unPackFourFirstSample,unPackFourLastSample,unPackGroupingSample,unPackSpacialPrecisionSample,unPackTimeOfComp
130,9,165,3,4,354,63.7006,40.7504,73.084,4.40005,3.78339,13.2666,10,9,19,0,5,5,0,0,3,12.67,3.33,1,185,11,4,0,26,2,2,6,2,1,63,9,0,15,10,0,5,"[""3"",""14"",""215"",""218"",""222"",""204"",""147"",""154"",""140"",""Coin113"",""Coin127"",""Coin110"",""Coin69"",""Coin73"",""Coin59"",""Coin56"",""Coin50"",""Coin168"",""Coin182""]",0,144,"[""Tabla de surf"",""Carrito"",""Robot""]",3,99.99,9,9,8,6,0,0,1,0,0,"[50,50,25,0]","[25,25,50,0]","[4,2,1,0]","[8,7,4,0]",270
131,9,124,4,5,544,88.8516,106.352,117.969,4.41648,5.98343,18.6002,11,24,23,0,8,8,0,2,1,19.33,5.33,1,322,11,2,0,20,7,3,6,2,0,70,11,3,13,4,0,9,"[""204"",""3"",""14"",""25"",""22"",""56"",""59"",""63"",""82"",""84"",""89"",""93"",""110"",""127"",""Coin147"",""Coin168"",""Coin218"",""Coin193""]",0,105,"[""Tabla de surf"",""Robot"",""Camara""]",2,0,7,9,9,0,0,0,0,0,0,"[50,25,25,0]","[50,75,50,0]","[1,3,2,0]","[1,6,3,0]",233
132,9,223,4,4,435,78.7053,63.6013,33.5554,2.95378,6.71682,2.80008,11,22,6,1,11,2,2,4,3,13,4.67,3,185,10,5,1,25,3,2,7,1,1,78,7,7,17,17,32,0,"[""39"",""50"",""49"",""193"",""182"",""168"",""154"",""127"",""143"",""185"",""157"",""155"",""20"",""25"",""Coin32"",""Coin147"",""Coin218"",""Coin219"",""Coin222"",""Coin204"",""Coin178"",""Coin113"",""Coin82"",""Coin84"",""Coin116"",""Coin3"",""Coin14"",""Coin12"",""Coin10"",""Coin22"",""Coin54"",""Coin56"",""Coin59"",""Coin63"",""Coin73"",""Coin69"",""Coin89"",""Coin93"",""Coin119"",""Coin140"",""Coin133"",""Coin145"",""Coin151"",""Coin215"",""Coin207"",""Coin197"",""Coin183"",""Coin186"",""Coin172"",""Coin112"",""Coin110"",""Coin126"",""Coin45"",""Coin221"",""Coin108"",""Coin43"",""Coin103"",""Coin118"",""Coin130"",""Coin51"",""Coin8"",""Coin23"",""Coin4""]",1,234,"[""Tabla de surf"",""Carrito"",""Robot""]",3,99.99,9,9,9,10,0,1,4,1,2,"[25,50,25,0]","[50,50,50,0]","[4,3,5,0]","[8,4,6,0]",294
133,6,17,4,2,374,58.8187,15.3174,9.85041,6.15029,3.58369,3.31685,21,16,10,5,8,6,2,5,2,15.67,6.33,3,96,7,61,4,19,8,3,7,2,1,71,9,25,15,2,0,13,"[""215"",""43"",""61"",""76"",""90"",""87"",""86"",""185"",""165"",""164"",""178"",""113"",""52"",""103"",""157"",""142"",""127"",""13"",""14"",""25"",""54"",""39"",""24"",""23"",""21"",""66"",""182"",""221"",""218"",""219"",""222"",""208"",""116"",""50"",""Coin110"",""Coin56""]",1,74,"[""Robot"",""Robot"",""Carrito""]",3,99.99,9,7,9,10,0,0,4,1,1,"[0,0,25,0]","[50,75,75,0]","[2,1,2,0]","[7,6,7,0]",265
134,6,70,4,2,344,31.5498,43.8663,58.6332,6.88309,3.08323,2.66697,27,24,15,16,10,8,5,3,2,22,11.33,3.33,142,10,20,1,30,0,0,9,0,0,110,3,0,21,0,0,21,"[""218"",""50"",""113""]",0,72,"[""Tabla de surf"",""Robot"",""Carrito""]",3,99.99,2,2,2,1,1,1,0,0,0,"[0,0,0,0]","[1,1,1,0]","[0,1,1,0]","[0,0,0,0]",150
135,6,19,2,3,361,96.4842,22.0166,8.61654,6.34973,3.93342,4.69998,21,20,9,6,14,7,4,2,2,16.67,9,2.67,135,5,42,6,25,4,1,8,1,0,92,3,30,21,1,1,20,"[""62"",""47"",""48"",""64"",""80"",""96"",""112"",""128"",""144"",""160"",""176"",""208"",""192"",""224"",""223"",""207"",""191"",""175"",""143"",""159"",""95"",""63"",""79"",""94"",""78"",""111"",""127"",""110"",""126"",""142"",""158"",""174"",""190"",""Coin206"",""Coin222""]",1,71,[],0,0,0,9,9,0,10,0,0,4,0,"[0,25,25,0]","[0,75,50,0]","[0,5,3,0]","[0,0,0,0]",241
136,6,28,5,3,587,74.9844,38.1337,72.3344,14.8835,2.36659,6.80023,23,21,54,11,9,31,4,2,6,32.67,17,4,192,7,41,4,26,3,1,8,2,0,66,8,14,16,1,0,15,"[""14"",""127"",""155"",""110"",""82"",""182"",""168"",""25"",""22"",""141"",""124"",""121"",""120"",""136"",""152"",""151"",""150"",""134"",""118"",""102"",""101"",""85"",""Coin69""]",1,70,"[""Alcancia"",""Carrito"",""Pantalu00f3n""]",1,0,9,9,8,10,10,0,4,4,1,"[0,25,25,0]","[25,25,50,0]","[5,3,2,0]","[0,0,0,0]",204
137,6,30,4,1,480,80.1694,117.571,94.273,7.73361,8.11684,9.00041,27,46,26,5,19,10,3,4,4,33,11.33,3.67,300,8,57,3,18,11,1,2,7,0,66,6,2,18,2,1,16,"[""39"",""56"",""127"",""14"",""222"",""193"",""204"",""208"",""Coin143"",""Coin113"",""Coin168""]",1,120,"[""Robot"",""Lentes"",""Carrito""]",2,0,8,7,4,4,1,1,2,0,1,"[50,50,25,0]","[25,50,25,0]","[2,1,2,0]","[5,3,1,0]",307
138,6,76,4,3,533,109.676,11.7668,5.0502,20.4837,8.63328,3.18399,20,4,7,5,3,6,3,2,2,10.33,4.67,2.33,137,11,0,0,18,10,2,6,3,0,84,6,0,18,2,2,16,"[""3"",""59"",""56"",""14"",""22"",""69"",""Coin168"",""Coin193"",""Coin145"",""Coin54""]",0,117,"[""Tabla de surf"",""Carrito"",""Alcancia""]",2,0,8,8,9,4,2,0,2,0,0,"[50,50,50,0]","[25,25,25,0]","[2,1,1,0]","[4,4,5,0]",475
139,6,60,2,3,396,240.009,103.198,54.1845,25.567,18.3293,14.8834,47,24,11,9,10,6,3,2,3,27.33,8.33,2.67,407,10,10,1,24,3,3,7,1,1,87,6,0,18,1,0,17,"[""22"",""3"",""50"",""182"",""59"",""110"",""Coin168""]",0,87,"[""Cubeta"",""Globo Terraqueo"",""Pino""]",0,0,9,9,9,10,0,0,4,0,0,"[25,25,50,0]","[50,50,25,0]","[4,2,1,0]","[2,5,5,0]",445
140,7,91,2,4,393,92.4855,223.011,41.2176,13.717,4.41672,4.56661,13,54,22,6,26,15,2,16,4,29.67,15.67,7.33,365,8,8,3,21,8,1,7,2,0,94,11,0,13,5,0,8,"[""25"",""59"",""110"",""127"",""218"",""215"",""193"",""147"",""113"",""50"",""56"",""Coin63"",""Coin22"",""Coin3"",""Coin14"",""Coin73""]",0,161,"[""Robot"",""Robot"",""Alcancia""]",2,0,7,9,7,4,0,1,3,0,1,"[50,50,25,0]","[25,25,50,0]","[2,2,2,0]","[3,6,5,0]",388
